version	case	chrom	pos	HP_0	HP_1	HP_2	HP_11	HP_21	HP_33	HP1_family	HP2_family	ratio_HP1:HP2	AMB_pct	total_reads
A2_v2b	B_FPA2	chr9	137953060	20	49	18	0	2	0	49	20	2.45	0.00	89
A2_v2b	B_FPB1	chr7	52087777	13	15	54	0	21	0	15	75	0.20	0.00	103
A2_v2b	B_FPB2	chr9	75383880	25	34	34	0	15	0	34	49	0.69	0.00	108
A2_v2b	C_V5max1	chr19	4639528	8	8	0	51	0	0	59	0	inf	0.00	67
A2_v2b	C_V5max2	chr19	2235521	3	5	0	71	0	0	76	0	inf	0.00	79
A2_v2b	C_V5max3	chr19	7405500	1	2	5	0	76	0	2	81	0.02	0.00	84
A2_v2b	D_SP1	chr19	17565944	0	0	37	0	77	0	0	114	0.00	0.00	114
A2_v2b	D_SP2	chr19	12452332	11	1	33	0	77	0	1	110	0.01	0.00	122
A2_v2b	D_SP3	chr19	12467180	4	0	32	0	77	0	0	109	0.00	0.00	113
A3_v3f_no_pononly	A_TP01	chr6	145444893	0	65	0	31	0	1	96	0	inf	1.03	97
A3_v3f_no_pononly	A_TP02	chr4	70548355	0	51	0	31	0	0	82	0	inf	0.00	82
A3_v3f_no_pononly	A_TP03	chr5	153209947	14	41	2	26	1	9	67	3	22.33	11.39	93
A3_v3f_no_pononly	A_TP04	chr16	35118902	5	34	13	57	9	15	91	22	4.14	11.72	133
A3_v3f_no_pononly	A_TP05	chr7	109185781	1	117	37	4	0	0	121	37	3.27	0.00	159
A3_v3f_no_pononly	B_FPA1	chr8	93565727	1	3	111	0	0	0	3	111	0.03	0.00	115
A3_v3f_no_pononly	B_FPA2	chr9	137953060	7	78	2	1	0	1	79	2	39.50	1.22	89
A3_v3f_no_pononly	B_FPB1	chr7	52087777	2	24	56	2	19	0	26	75	0.35	0.00	103
A3_v3f_no_pononly	B_FPB2	chr9	75383880	10	43	40	0	14	1	43	54	0.80	1.02	108
A3_v3f_no_pononly	C_V5max1	chr19	4639528	8	8	0	12	0	39	20	0	inf	66.10	67
A3_v3f_no_pononly	C_V5max2	chr19	2235521	3	5	0	45	0	26	50	0	inf	34.21	79
A3_v3f_no_pononly	C_V5max3	chr19	7405500	1	2	5	3	55	18	5	60	0.08	21.69	84
A3_v3f_no_pononly	D_SP1	chr19	17565944	0	36	1	75	0	2	111	1	111.00	1.75	114
A3_v3f_no_pononly	D_SP2	chr19	12452332	8	33	1	79	0	1	112	1	112.00	0.88	122
A3_v3f_no_pononly	D_SP3	chr19	12467180	4	32	0	77	0	0	109	0	inf	0.00	113
A4_v3f_with_pononly	A_TP01	chr6	145444893	0	65	0	31	0	1	96	0	inf	1.03	97
A4_v3f_with_pononly	A_TP02	chr4	70548355	2	0	49	0	29	2	0	78	0.00	2.50	82
A4_v3f_with_pononly	A_TP03	chr5	153209947	14	41	2	26	1	9	67	3	22.33	11.39	93
A4_v3f_with_pononly	A_TP04	chr16	35118902	3	9	40	7	60	14	16	100	0.16	10.77	133
A4_v3f_with_pononly	A_TP05	chr7	109185781	44	84	27	2	0	2	86	27	3.19	1.74	159
A4_v3f_with_pononly	B_FPA1	chr8	93565727	53	31	31	0	0	0	31	31	1.00	0.00	115
A4_v3f_with_pononly	B_FPA2	chr9	137953060	20	49	18	1	1	0	50	19	2.63	0.00	89
A4_v3f_with_pononly	B_FPB1	chr7	52087777	13	15	54	2	19	0	17	73	0.23	0.00	103
A4_v3f_with_pononly	B_FPB2	chr9	75383880	25	34	34	12	2	1	46	36	1.28	1.20	108
A4_v3f_with_pononly	C_V5max1	chr19	4639528	8	8	0	12	0	39	20	0	inf	66.10	67
A4_v3f_with_pononly	C_V5max2	chr19	2235521	3	5	0	45	0	26	50	0	inf	34.21	79
A4_v3f_with_pononly	C_V5max3	chr19	7405500	1	2	5	3	55	18	5	60	0.08	21.69	84
A4_v3f_with_pononly	D_SP1	chr19	17565944	0	0	37	0	76	1	0	113	0.00	0.88	114
A4_v3f_with_pononly	D_SP2	chr19	12452332	11	1	33	0	76	1	1	109	0.01	0.90	122
A4_v3f_with_pononly	D_SP3	chr19	12467180	4	0	32	0	76	1	0	108	0.00	0.92	113
A5_v5	A_TP01	chr6	145444893	0	65	0	32	0	0	97	0	inf	0.00	97
A5_v5	A_TP02	chr4	70548355	2	0	49	0	29	2	0	78	0.00	2.50	82
A5_v5	A_TP03	chr5	153209947	14	41	2	35	1	0	76	3	25.33	0.00	93
A5_v5	A_TP04	chr16	35118902	3	9	40	7	64	10	16	104	0.15	7.69	133
A5_v5	A_TP05	chr7	109185781	44	84	27	2	0	2	86	27	3.19	1.74	159
A5_v5	B_FPA1	chr8	93565727	53	31	31	0	0	0	31	31	1.00	0.00	115
A5_v5	B_FPA2	chr9	137953060	20	49	18	1	1	0	50	19	2.63	0.00	89
A5_v5	B_FPB1	chr7	52087777	13	15	54	2	19	0	17	73	0.23	0.00	103
A5_v5	B_FPB2	chr9	75383880	25	34	34	12	3	0	46	37	1.24	0.00	108
A5_v5	C_V5max1	chr19	4639528	8	8	0	51	0	0	59	0	inf	0.00	67
A5_v5	C_V5max2	chr19	2235521	3	5	0	71	0	0	76	0	inf	0.00	79
A5_v5	C_V5max3	chr19	7405500	1	2	5	3	73	0	5	78	0.06	0.00	84
A5_v5	D_SP1	chr19	17565944	0	0	37	0	76	1	0	113	0.00	0.88	114
A5_v5	D_SP2	chr19	12452332	11	1	33	0	77	0	1	110	0.01	0.00	122
A5_v5	D_SP3	chr19	12467180	4	0	32	0	76	1	0	108	0.00	0.92	113
