region	chrom	start	end	span	n_sSNV	cn	tree_shape	n_nodes	n_nested	n_sibling	max_depth	has_cycle	n_populations
chr15:69618314-69831359	chr15	69618314	69831359	213045	14	gain	full_tree	9	4	2	2	False	0
chr8:85865603-86010108	chr8	85865603	86010108	144505	13	loh	full_tree	12	5	1	3	False	0
chr7:153162818-153385238	chr7	153162818	153385238	222420	12	gain	full_tree	12	1	5	2	False	0
chr8:72157099-72448104	chr8	72157099	72448104	291005	11	gain	sibling_only	10	0	6	1	False	0
chr8:96203865-96369821	chr8	96203865	96369821	165956	11	loh	full_tree	10	3	3	2	False	0
chr8:123530673-123650301	chr8	123530673	123650301	119628	11	gain	full_tree	7	3	3	2	False	0
chr7:57107302-57263595	chr7	57107302	57263595	156293	10	gain	full_tree	10	1	5	2	False	0
chr20:56455978-56486996	chr20	56455978	56486996	31018	10	gain	full_tree	9	5	1	4	False	1
chr6:70541222-70728672	chr6	70541222	70728672	187450	9	gain	full_tree	9	1	5	2	False	0
chr7:148012080-148151764	chr7	148012080	148151764	139684	9	gain	full_tree	9	3	3	2	False	0
chr2:41021690-41081896	chr2	41021690	41081896	60206	8	loh	full_tree	5	3	3	3	False	0
chr12:1819806-1970848	chr12	1819806	1970848	151042	8	gain	full_tree	8	3	3	2	False	0
chr4:3380268-3485510	chr4	3380268	3485510	105242	7	loh	full_tree	7	4	2	2	False	0
chr6:117168266-117319674	chr6	117168266	117319674	151408	7	gain	full_tree	7	2	4	3	False	0
chr7:130685570-130783783	chr7	130685570	130783783	98213	7	gain	full_tree	7	3	3	2	False	0
chr1:88382665-88442235	chr1	88382665	88442235	59570	6	gain	full_tree	6	1	5	2	False	0
chr2:29357843-29397480	chr2	29357843	29397480	39637	6	loh	full_tree	5	3	3	4	False	1
chr4:18469698-18477035	chr4	18469698	18477035	7337	6	loss	full_tree	6	4	2	3	False	1
chr5:146038132-146125355	chr5	146038132	146125355	87223	6	gain	full_tree	6	3	3	3	False	0
chr5:177454599-177499283	chr5	177454599	177499283	44684	6	loh	full_tree	5	3	3	3	False	0
chr6:72562456-72653956	chr6	72562456	72653956	91500	6	gain	sibling_only	5	0	6	1	False	0
chr8:91811435-91857740	chr8	91811435	91857740	46305	6	loh	full_tree	5	1	5	2	False	0
chr8:96851201-96961655	chr8	96851201	96961655	110454	6	loh	full_tree	6	2	4	2	False	0
chr8:132099309-132141243	chr8	132099309	132141243	41934	6	gain	sibling_only	4	0	6	1	False	1
chr8:138737577-138801072	chr8	138737577	138801072	63495	6	gain	sibling_only	5	0	6	1	False	0
chr8:140721748-140824899	chr8	140721748	140824899	103151	6	gain	sibling_only	6	0	6	1	False	0
chr14:103296478-103365547	chr14	103296478	103365547	69069	6	gain	full_tree	6	5	1	2	False	0
chr6:76021888-76088081	chr6	76021888	76088081	66193	5	gain	full_tree	5	2	4	2	False	0
chr7:81417112-81481147	chr7	81417112	81481147	64035	5	gain	full_tree	5	1	5	2	False	0
chr14:94727039-94782570	chr14	94727039	94782570	55531	5	gain	full_tree	5	2	4	2	False	0
chr17:18963762-19012906	chr17	18963762	19012906	49144	5	gain	full_tree	5	3	3	3	False	0
chr18:59490547-59532814	chr18	59490547	59532814	42267	5	loss	full_tree	5	2	4	2	False	0
chr2:116785434-116804857	chr2	116785434	116804857	19423	4	loh	full_tree	4	1	5	2	False	1
chr5:143365207-143380775	chr5	143365207	143380775	15568	4	gain	full_tree	4	1	5	2	False	2
chr8:116013052-116032261	chr8	116013052	116032261	19209	4	gain	full_tree	4	1	5	2	False	2
chr8:139955071-139985821	chr8	139955071	139985821	30750	4	gain	sibling_only	4	0	6	1	False	3
chr13:73095753-73117831	chr13	73095753	73117831	22078	4	loh	full_tree	4	1	5	2	False	1
chr2:44942972-45044814	chr2	44942972	45044814	101842	46	gain	full_tree	6	4	1	2	False	3
chr2:206859990-207001066	chr2	206859990	207001066	141076	39	neutral	full_tree	5	3	2	3	False	2
chr4:36928484-37181000	chr4	36928484	37181000	252516	17	gain	full_tree	15	3	2	2	False	0
chr11:10556815-10803184	chr11	10556815	10803184	246369	16	loh	full_tree	11	4	1	2	False	0
chr7:115759008-116048065	chr7	115759008	116048065	289057	14	gain	full_tree	13	2	3	2	False	0
chr3:181593242-181824444	chr3	181593242	181824444	231202	13	gain	sibling_only	11	0	5	1	False	0
chr7:113360894-113557659	chr7	113360894	113557659	196765	13	gain	full_tree	9	3	2	3	False	0
chr17:72196932-72391712	chr17	72196932	72391712	194780	12	gain	full_tree	9	2	3	2	False	0
chr2:189984375-190158792	chr2	189984375	190158792	174417	11	gain	linear_nested	11	5	0	4	False	0
chr7:94940689-95148679	chr7	94940689	95148679	207990	11	gain	full_tree	11	4	1	3	False	0
chr1:44052632-44244126	chr1	44052632	44244126	191494	10	gain	full_tree	10	3	2	2	False	0
chr8:103828771-104001325	chr8	103828771	104001325	172554	10	gain	full_tree	9	1	4	2	False	0
chr8:120806397-120967567	chr8	120806397	120967567	161170	10	gain	full_tree	7	1	4	2	False	0
chr8:125286225-125451034	chr8	125286225	125451034	164809	10	gain	inconsistent	8	4	1	3	True	0
chr12:10191484-10299688	chr12	10191484	10299688	108204	10	gain	full_tree	9	3	2	2	False	0
chr15:89194548-89373432	chr15	89194548	89373432	178884	10	gain	sibling_only	10	0	5	1	False	0
chr2:180271572-180381487	chr2	180271572	180381487	109915	9	gain	full_tree	7	3	2	3	False	0
chr3:71327944-71329696	chr3	71327944	71329696	1752	9	neutral	linear_nested	7	5	0	5	False	2
chr8:54889935-55048578	chr8	54889935	55048578	158643	9	loh	full_tree	7	1	4	2	False	0
chr8:93037093-93104808	chr8	93037093	93104808	67715	9	loh	full_tree	9	2	3	2	False	0
chr14:87154505-87332700	chr14	87154505	87332700	178195	9	gain	linear_nested	8	5	0	3	False	0
chr18:56232965-56418071	chr18	56232965	56418071	185106	9	gain	full_tree	9	3	2	2	False	0
chr1:115939392-116066164	chr1	115939392	116066164	126772	8	loh	sibling_only	8	0	5	1	False	0
chr3:22156499-22295365	chr3	22156499	22295365	138866	8	gain	linear_nested	7	5	0	3	False	0
chr7:61826030-61921222	chr7	61826030	61921222	95192	8	gain	full_tree	8	4	1	2	False	0
chr7:99208330-99283250	chr7	99208330	99283250	74920	8	gain	full_tree	7	1	4	2	False	0
chr7:117350682-117462917	chr7	117350682	117462917	112235	8	gain	full_tree	8	2	3	2	False	0
chr7:150684373-150795289	chr7	150684373	150795289	110916	8	gain	full_tree	8	2	3	3	False	0
chr12:18691060-18774516	chr12	18691060	18774516	83456	8	gain	sibling_only	8	0	5	1	False	0
chr12:83347280-83443271	chr12	83347280	83443271	95991	8	loh	full_tree	8	1	4	2	False	0
chr17:17288847-17365362	chr17	17288847	17365362	76515	8	gain	sibling_only	7	0	5	1	False	0
chr22:24242507-24351743	chr22	24242507	24351743	109236	8	gain	full_tree	7	4	1	3	False	0
chr1:49461119-49583594	chr1	49461119	49583594	122475	7	gain	full_tree	7	2	3	2	False	0
chr1:111671634-111778848	chr1	111671634	111778848	107214	7	loh	full_tree	7	2	3	2	False	0
chr6:121417235-121513489	chr6	121417235	121513489	96254	7	gain	full_tree	5	2	3	3	False	0
chr7:57765623-57826044	chr7	57765623	57826044	60421	7	gain	full_tree	7	4	1	2	False	0
chr15:84562921-84623208	chr15	84562921	84623208	60287	7	gain	full_tree	6	1	4	2	False	0
chr16:11614033-11716211	chr16	11614033	11716211	102178	7	gain	full_tree	7	3	2	2	False	0
chr16:15933653-16062429	chr16	15933653	16062429	128776	7	gain	full_tree	6	4	1	3	False	0
chr18:8758132-8836715	chr18	8758132	8836715	78583	7	loh	linear_nested	7	5	0	3	False	0
chr19:51782649-51863021	chr19	51782649	51863021	80372	7	loh	full_tree	6	3	2	3	False	0
chr3:121801708-121842653	chr3	121801708	121842653	40945	6	loh	full_tree	5	2	3	3	False	0
chr5:20835300-20903726	chr5	20835300	20903726	68426	6	gain	full_tree	6	4	1	3	False	0
chr5:114336455-114432771	chr5	114336455	114432771	96316	6	loh	full_tree	6	3	2	2	False	0
chr5:145553605-145662752	chr5	145553605	145662752	109147	6	gain	full_tree	6	2	3	2	False	0
chr7:98036577-98089743	chr7	98036577	98089743	53166	6	gain	full_tree	6	1	4	2	False	0
chr8:90123770-90206160	chr8	90123770	90206160	82390	6	loh	full_tree	6	1	4	2	False	0
chr8:111950805-112037891	chr8	111950805	112037891	87086	6	gain	full_tree	4	3	2	2	False	0
chr8:120549667-120631325	chr8	120549667	120631325	81658	6	gain	full_tree	6	1	4	2	False	0
chr10:43877885-43970775	chr10	43877885	43970775	92890	6	gain	full_tree	6	4	1	2	False	0
chr12:4923316-5025213	chr12	4923316	5025213	101897	6	gain	full_tree	6	2	3	3	False	0
chr15:87121897-87208493	chr15	87121897	87208493	86596	6	gain	full_tree	5	1	4	2	False	0
chr1:87520100-87558140	chr1	87520100	87558140	38040	5	gain	full_tree	4	2	3	2	False	1
chr2:112563386-112598172	chr2	112563386	112598172	34786	5	loss	full_tree	4	1	4	2	False	0
chr3:113864131-113890853	chr3	113864131	113890853	26722	5	loh	full_tree	5	2	3	2	False	0
chr3:127912458-127986757	chr3	127912458	127986757	74299	5	loh	full_tree	5	2	3	2	False	0
chr4:175360011-175402051	chr4	175360011	175402051	42040	5	loh	full_tree	5	1	4	2	False	0
chr5:164484486-164559111	chr5	164484486	164559111	74625	5	loh	full_tree	5	2	3	2	False	0
chr7:114357453-114407755	chr7	114357453	114407755	50302	5	gain	full_tree	5	1	4	2	False	0
chr8:13609084-13652110	chr8	13609084	13652110	43026	5	loh	full_tree	5	2	3	2	False	0
chr8:112261350-112317882	chr8	112261350	112317882	56532	5	gain	full_tree	5	2	3	2	False	0
chr14:84245108-84294623	chr14	84245108	84294623	49515	5	gain	sibling_only	5	0	5	1	False	0
chr14:93570734-93647512	chr14	93570734	93647512	76778	5	gain	full_tree	4	1	4	2	False	0
chr19:51245519-51294731	chr19	51245519	51294731	49212	5	loh	full_tree	4	1	4	2	False	0
chr1:192658596-192692479	chr1	192658596	192692479	33883	4	gain	full_tree	4	1	4	2	False	1
chr4:116422502-116451126	chr4	116422502	116451126	28624	4	gain	full_tree	4	3	2	3	False	1
chr5:109588573-109589616	chr5	109588573	109589616	1043	4	loh	full_tree	4	2	3	2	False	3
chr7:103007078-103034754	chr7	103007078	103034754	27676	4	gain	full_tree	4	1	4	2	False	3
chr8:52128513-52141343	chr8	52128513	52141343	12830	4	gain	full_tree	4	3	2	2	False	3
chr8:68867094-68889708	chr8	68867094	68889708	22614	4	gain	full_tree	4	3	2	3	False	2
chr8:91291447-91300345	chr8	91291447	91300345	8898	4	loh	full_tree	4	3	2	3	False	3
chr8:112695319-112715314	chr8	112695319	112715314	19995	4	gain	full_tree	4	3	2	2	False	5
chr8:132411612-132453573	chr8	132411612	132453573	41961	4	gain	sibling_only	4	0	5	1	False	1
chr11:70879255-70888432	chr11	70879255	70888432	9177	4	loh	full_tree	4	2	3	2	False	2
chr12:85399502-85442483	chr12	85399502	85442483	42981	4	loh	full_tree	4	1	4	2	False	0
chr14:83058086-83100907	chr14	83058086	83100907	42821	4	gain	full_tree	4	3	2	2	False	0
chr9:41777788-41804669	chr9	41777788	41804669	26881	78	gain	inconsistent	12	4	0	3	True	3
chr17:79974466-80072284	chr17	79974466	80072284	97818	65	gain	inconsistent	4	2	2	1	True	2
chr20:29582840-29584694	chr20	29582840	29584694	1854	20	gain	linear_nested	5	4	0	4	False	2
chr9:11867561-12135571	chr9	11867561	12135571	268010	16	gain	linear_nested	14	4	0	2	False	0
chr1:75234146-75273929	chr1	75234146	75273929	39783	15	loss	full_tree	8	3	1	2	False	1
chr22:37164146-37436920	chr22	37164146	37436920	272774	14	gain	full_tree	13	1	3	2	False	0
chr4:121741574-121967401	chr4	121741574	121967401	225827	11	gain	full_tree	11	2	2	2	False	0
chr20:58771335-58882287	chr20	58771335	58882287	110952	11	gain	full_tree	8	2	2	2	False	0
chr3:78908824-78942562	chr3	78908824	78942562	33738	10	neutral	sibling_only	5	0	4	1	False	2
chr7:89905348-90068612	chr7	89905348	90068612	163264	10	gain	full_tree	9	1	3	2	False	0
chr7:109140682-109331590	chr7	109140682	109331590	190908	10	gain	full_tree	10	1	3	2	False	0
chr7:154185061-154433359	chr7	154185061	154433359	248298	10	gain	full_tree	10	3	1	2	False	0
chr10:44177502-44323860	chr10	44177502	44323860	146358	10	gain	full_tree	10	1	3	2	False	0
chr16:22198004-22305469	chr16	22198004	22305469	107465	10	gain	full_tree	10	1	3	2	False	0
chr22:27499618-27761963	chr22	27499618	27761963	262345	10	gain	full_tree	9	3	1	3	False	0
chr1:119227522-119389546	chr1	119227522	119389546	162024	9	gain	linear_nested	9	4	0	3	False	0
chr5:1737712-1862225	chr5	1737712	1862225	124513	9	gain	full_tree	8	2	2	2	False	0
chr5:23811482-23945585	chr5	23811482	23945585	134103	9	gain	full_tree	8	3	1	3	False	0
chr5:36618263-36731603	chr5	36618263	36731603	113340	9	gain	linear_nested	8	4	0	3	False	0
chr7:103239201-103407070	chr7	103239201	103407070	167869	9	gain	full_tree	9	1	3	2	False	0
chr8:126001169-126193387	chr8	126001169	126193387	192218	9	gain	sibling_only	7	0	4	1	False	0
chr10:37080804-37167628	chr10	37080804	37167628	86824	9	gain	full_tree	8	3	1	3	False	0
chr11:63237318-63399705	chr11	63237318	63399705	162387	9	gain	inconsistent	8	2	2	1	True	0
chr13:72776484-72844363	chr13	72776484	72844363	67879	9	loh	full_tree	7	3	1	2	False	2
chr16:17657887-17813459	chr16	17657887	17813459	155572	9	gain	full_tree	8	1	3	2	False	0
chr20:50997088-51163809	chr20	50997088	51163809	166721	9	gain	full_tree	8	3	1	2	False	0
chr2:1428891-1560759	chr2	1428891	1560759	131868	8	gain	full_tree	7	1	3	2	False	0
chr2:176717438-176811462	chr2	176717438	176811462	94024	8	gain	linear_nested	7	4	0	2	False	0
chr4:98851446-99015553	chr4	98851446	99015553	164107	8	gain	full_tree	8	1	3	2	False	0
chr4:121338443-121478319	chr4	121338443	121478319	139876	8	gain	full_tree	8	2	2	2	False	0
chr4:189761845-189870604	chr4	189761845	189870604	108759	8	loh	linear_nested	7	4	0	3	False	0
chr7:88690517-88789837	chr7	88690517	88789837	99320	8	gain	sibling_only	7	0	4	1	False	0
chr8:124775520-124928399	chr8	124775520	124928399	152879	8	gain	sibling_only	7	0	4	1	False	0
chr8:132620729-132796121	chr8	132620729	132796121	175392	8	gain	full_tree	5	1	3	2	False	0
chr9:134310126-134393143	chr9	134310126	134393143	83017	8	gain	full_tree	6	2	2	2	False	0
chr10:46665428-46668377	chr10	46665428	46668377	2949	8	gain	linear_nested	5	4	0	3	False	2
chr20:31578940-31774405	chr20	31578940	31774405	195465	8	gain	full_tree	7	2	2	2	False	0
chr2:57099907-57195807	chr2	57099907	57195807	95900	7	gain	full_tree	7	3	1	2	False	0
chr3:130285026-130430574	chr3	130285026	130430574	145548	7	gain	full_tree	7	1	3	2	False	0
chr3:132913773-133092112	chr3	132913773	133092112	178339	7	gain	full_tree	7	1	3	2	False	0
chr5:37929417-38037379	chr5	37929417	38037379	107962	7	gain	full_tree	6	2	2	2	False	0
chr5:82806319-82909615	chr5	82806319	82909615	103296	7	loh	full_tree	7	2	2	2	False	0
chr5:150079864-150207277	chr5	150079864	150207277	127413	7	gain	full_tree	7	1	3	2	False	0
chr7:138771115-138850266	chr7	138771115	138850266	79151	7	gain	full_tree	6	1	3	2	False	0
chr8:124145488-124283118	chr8	124145488	124283118	137630	7	gain	sibling_only	5	0	4	1	False	0
chr8:132914701-133044329	chr8	132914701	133044329	129628	7	gain	full_tree	7	1	3	2	False	0
chr8:135064529-135219947	chr8	135064529	135219947	155418	7	gain	sibling_only	7	0	4	1	False	0
chr10:33798339-33890614	chr10	33798339	33890614	92275	7	gain	full_tree	7	3	1	2	False	0
chr12:3956732-4068986	chr12	3956732	4068986	112254	7	gain	full_tree	7	2	2	2	False	0
chr12:22248382-22345439	chr12	22248382	22345439	97057	7	gain	sibling_only	7	0	4	1	False	0
chr15:96565240-96697715	chr15	96565240	96697715	132475	7	gain	full_tree	7	2	2	2	False	0
chr18:40686049-40805929	chr18	40686049	40805929	119880	7	gain	full_tree	7	2	2	2	False	0
chr1:84737071-84807558	chr1	84737071	84807558	70487	6	gain	sibling_only	5	0	4	1	False	0
chr1:87858111-87986836	chr1	87858111	87986836	128725	6	gain	full_tree	6	3	1	2	False	0
chr3:90407867-90477097	chr3	90407867	90477097	69230	6	gain	full_tree	6	3	1	2	False	0
chr4:93910607-94021236	chr4	93910607	94021236	110629	6	gain	full_tree	6	2	2	2	False	0
chr4:108606546-108711083	chr4	108606546	108711083	104537	6	gain	full_tree	6	1	3	2	False	0
chr7:78051157-78139906	chr7	78051157	78139906	88749	6	gain	full_tree	5	1	3	2	False	0
chr7:81678915-81768294	chr7	81678915	81768294	89379	6	gain	sibling_only	4	0	4	1	False	0
chr7:100478224-100531617	chr7	100478224	100531617	53393	6	gain	sibling_only	6	0	4	1	False	0
chr8:90265261-90376648	chr8	90265261	90376648	111387	6	loh	sibling_only	6	0	4	1	False	0
chr8:104610355-104746266	chr8	104610355	104746266	135911	6	gain	full_tree	6	1	3	2	False	0
chr8:113551879-113654014	chr8	113551879	113654014	102135	6	gain	sibling_only	6	0	4	1	False	0
chr8:141276171-141363960	chr8	141276171	141363960	87789	6	gain	linear_nested	5	4	0	4	False	0
chr10:42708307-42773167	chr10	42708307	42773167	64860	6	gain	full_tree	5	1	3	2	False	0
chr12:85915097-86011996	chr12	85915097	86011996	96899	6	loh	full_tree	5	2	2	2	False	0
chr14:67933889-68032693	chr14	67933889	68032693	98804	6	gain	full_tree	6	1	3	2	False	0
chr14:75206415-75292133	chr14	75206415	75292133	85718	6	gain	linear_nested	6	4	0	5	False	0
chr15:86339080-86423038	chr15	86339080	86423038	83958	6	gain	full_tree	4	2	2	2	False	0
chr19:2235521-2302172	chr19	2235521	2302172	66651	6	loh	full_tree	6	2	2	2	False	0
chr19:7477936-7576483	chr19	7477936	7576483	98547	6	loh	linear_nested	6	4	0	3	False	0
chr19:54776265-54869741	chr19	54776265	54869741	93476	6	loh	full_tree	6	1	3	2	False	0
chr20:2210872-2312958	chr20	2210872	2312958	102086	6	gain	full_tree	6	2	2	2	False	0
chr1:62018824-62074371	chr1	62018824	62074371	55547	5	loh	full_tree	5	1	3	2	False	0
chr2:176939917-176967818	chr2	176939917	176967818	27901	5	gain	full_tree	5	2	2	2	False	0
chr3:838224-890774	chr3	838224	890774	52550	5	gain	linear_nested	5	4	0	3	False	0
chr3:131999746-132056771	chr3	131999746	132056771	57025	5	gain	full_tree	4	1	3	2	False	0
chr3:161014897-161093495	chr3	161014897	161093495	78598	5	gain	full_tree	5	2	2	2	False	0
chr4:9912441-9938037	chr4	9912441	9938037	25596	5	loh	linear_nested	5	4	0	2	False	0
chr4:85314677-85370458	chr4	85314677	85370458	55781	5	gain	full_tree	5	2	2	2	False	0
chr5:2244262-2306265	chr5	2244262	2306265	62003	5	gain	full_tree	5	3	1	2	False	0
