region	chrom	shape	cn	n_reads	n_pop	popA	popA_n	popB	popB_n	n_cpg_tested	n_sig_cpg	max_dbeta	min_q	corroborated	hp_control_eval	cis_hit	cis_explained
chr3:128677864-128694547	chr3	linear_nested	loh	29	3	RRR	14	AAA	9	1182	0	0.981	0.8808	0	0	0	0
chr4:145261686-145262848	chr4	full_tree	loh	27	2	RAR	22	ARA	3	0	0	0.0	1.0	0	0	0	0
chr4:156441706-156448641	chr4	full_tree	loh	14	2	RAA	6	ARA	6	118	0	0.883	1.0	0	0	0	0
chr4:162376577-162392265	chr4	linear_nested	loh	8	2	RAA	3	RRA	3	0	0	0.0	1.0	0	0	0	0
chr4:190108740-190112507	chr4	linear_nested	neutral	361	2	RRR	331	AAA	28	812	28	0.857	0.0001	1	0	0	0
chr5:60536738-60553511	chr5	linear_nested	loh	12	2	AAA	7	RAA	4	128	0	0.981	1.0	0	0	0	0
chr5:139095924-139109458	chr5	linear_nested	loh	18	2	AAA	10	AAR	8	299	0	0.934	0.9876	0	0	0	0
chr5:175946003-175946509	chr5	linear_nested	loh	83	2	RRR	60	AAA	21	785	10	0.981	0.0033	1	0	0	0
chr5:178839731-178862561	chr5	linear_nested	loh	20	2	RRA	11	AAA	9	1278	0	0.977	0.5483	0	0	0	0
chr6:112222431-112245184	chr6	linear_nested	loh	13	2	ARR	9	AAA	3	0	0	0.0	1.0	0	0	0	0
chr6:162499407-162508092	chr6	linear_nested	loh	21	2	RRR	13	AAA	5	129	0	0.979	0.1025	0	0	0	0
chr8:19210340-19215143	chr8	sibling_only	loh	34	3	ARR	14	RAA	13	341	0	0.984	0.3821	0	0	0	0
chr9:30374811-30375868	chr9	linear_nested	loh	55	3	ARR	26	AAA	24	235	5	0.971	0.0262	1	0	0	0
chr10:11815399-11823264	chr10	full_tree	loh	24	2	ARA	12	RAA	11	1051	0	0.97	0.4267	0	0	0	0
chr10:17370596-17394221	chr10	linear_nested	loh	8	2	AAR	5	AAA	3	0	0	0.0	1.0	0	0	0	0
chr10:111030565-111056521	chr10	linear_nested	loh	10	2	RAA	5	AAA	4	0	0	0.0	1.0	0	0	0	0
chr11:24731614-24740365	chr11	full_tree	loh	30	2	ARA	17	AAR	12	321	0	0.984	0.1283	0	0	0	0
chr11:103894538-103906824	chr11	sibling_only	loh	21	3	RAR	8	ARR	7	223	0	0.974	0.6526	0	0	0	0
chr13:68162169-68173006	chr13	full_tree	loh	25	2	RAA	13	ARA	9	338	0	0.953	1.0	0	0	0	0
chr13:103054961-103079386	chr13	linear_nested	loh	7	2	RAA	3	AAA	3	0	0	0.0	1.0	0	0	0	0
chr14:70861465-70881360	chr14	full_tree	loh	11	2	ARA	6	AAR	3	0	0	0.0	1.0	0	0	0	0
chr14:73880672-73900269	chr14	linear_nested	loh	16	2	AAA	10	AAR	3	275	0	0.472	1.0	0	0	0	0
chr18:3281734-3299083	chr18	linear_nested	loh	15	2	AAR	10	AAA	4	120	0	0.625	1.0	0	0	0	0
chr19:57565644-57582974	chr19	sibling_only	loh	10	2	RRA	7	RRR	3	0	0	0.0	1.0	0	0	0	0
chr21:35830844-35837363	chr21	linear_nested	neutral	30	2	RRR	17	AAA	11	379	0	0.984	0.7059	0	0	0	0
chr3:194404912-194417985	chr3	sibling_only	loh	11	2	RRRAR	3	RRRRR	3	0	0	0.0	1.0	0	0	0	0
chr3:59794636-59802951	chr3	linear_nested	loh	30	2	RRRR	25	AAAA	4	0	0	0.0	1.0	0	0	0	0
chr3:126806293-126820819	chr3	sibling_only	loh	12	2	RRAR	9	AARA	3	0	0	0.0	1.0	0	0	0	0
chr4:152733270-152739908	chr4	linear_nested	loh	31	2	RRRR	27	AAAA	3	0	0	0.0	1.0	0	0	0	0
chr4:174778828-174790589	chr4	sibling_only	loh	20	2	RRRR	14	RRAA	5	170	0	0.985	0.32	0	0	0	0
chr5:173111092-173143076	chr5	sibling_only	loh	8	2	ARAA	5	RARR	3	0	0	0.0	1.0	0	0	0	0
chr6:162254431-162270540	chr6	linear_nested	loh	9	2	RRRR	5	ARRR	4	0	0	0.0	1.0	0	0	0	0
chr8:87281669-87315420	chr8	sibling_only	loh	7	2	RRRR	4	RRAR	3	0	0	0.0	1.0	0	0	0	0
chr13:85471178-85481811	chr13	sibling_only	loh	16	2	AAAR	8	ARAA	5	136	0	0.778	0.8046	0	0	0	0
chr1:38089079-38091426	chr1	linear_nested	loh	48	2	RRR	43	AAA	4	74	0	0.976	0.1854	0	0	0	0
chr1:39714746-39718326	chr1	linear_nested	loh	59	3	RRR	22	RRA	22	574	3	0.974	0.0199	1	0	0	0
chr1:55001729-55033555	chr1	sibling_only	loh	8	2	RRA	5	AAR	3	0	0	0.0	1.0	0	0	0	0
chr1:68682105-68701931	chr1	sibling_only	loh	14	3	RRR	6	RAA	4	79	0	0.939	0.6066	0	0	0	0
chr1:78854076-78873994	chr1	linear_nested	loh	9	2	RRR	5	AAA	3	0	0	0.0	1.0	0	0	0	0
chr2:199690690-199705268	chr2	linear_nested	neutral	24	2	RRA	14	AAR	8	234	0	0.944	0.6801	0	0	0	0
chr2:204644837-204648404	chr2	linear_nested	neutral	58	2	ARR	29	RAA	27	380	15	0.981	0.0016	1	0	0	0
chr2:213115883-213135254	chr2	sibling_only	neutral	14	2	RRR	10	AAR	3	1	0	0.424	0.5714	0	0	0	0
chr3:59496505-59505094	chr3	linear_nested	loh	25	2	RRA	12	AAA	10	286	0	0.967	0.1651	0	0	0	0
chr3:97100673-97101335	chr3	linear_nested	loh	54	3	RRR	46	ARR	4	35	0	0.652	0.4304	0	0	0	0
chr3:116124626-116130457	chr3	linear_nested	loh	32	2	AAR	16	AAA	11	244	0	0.935	0.827	0	0	0	0
chr4:10862243-10863078	chr4	linear_nested	loh	43	2	RRR	38	AAA	3	0	0	0.0	1.0	0	0	0	0
chr4:152824289-152841811	chr4	sibling_only	loh	13	2	RRR	9	ARR	4	131	0	0.346	0.9381	0	0	0	0
chr4:164306025-164320657	chr4	linear_nested	loh	17	2	RRR	14	AAA	3	105	0	0.971	0.1606	0	0	0	0
chr5:73285870-73305142	chr5	linear_nested	loh	14	2	RAA	7	AAA	7	573	0	0.97	0.7135	0	0	0	0
chr5:82960450-82979955	chr5	linear_nested	loh	17	2	ARR	12	AAR	4	140	0	0.565	1.0	0	0	0	0
chr5:170542421-170563845	chr5	linear_nested	loh	13	3	ARA	5	AAA	4	231	0	0.951	0.6823	0	0	0	0
chr5:173769135-173786784	chr5	sibling_only	loh	15	2	RRR	10	RAA	5	195	0	0.97	0.9846	0	0	0	0
chr5:175313830-175335678	chr5	sibling_only	loh	10	2	AAR	6	RAA	3	130	0	0.945	0.2906	0	0	0	0
chr6:162361269-162364468	chr6	sibling_only	loh	28	2	ARR	18	RRR	8	199	0	0.993	0.4251	0	0	0	0
chr6:164671434-164695550	chr6	linear_nested	loh	10	2	AAA	5	ARA	5	147	0	0.672	0.7313	0	0	0	0
chr6:165959230-165980348	chr6	sibling_only	loh	11	2	ARR	7	RRR	3	1	0	0.126	0.8544	0	0	0	0
chr6:166188122-166201633	chr6	linear_nested	loh	14	2	RAA	11	AAA	3	0	0	0.0	1.0	0	0	0	0
chr8:13987667-13993995	chr8	linear_nested	loh	24	2	AAR	19	AAA	5	78	0	0.967	0.3527	0	0	0	0
chr8:61148458-61188388	chr8	sibling_only	loh	8	2	RRR	3	ARA	3	0	0	0.0	1.0	0	0	0	0
chr8:89619503-89637367	chr8	sibling_only	loh	21	3	RRR	7	ARR	7	147	0	0.956	0.875	0	0	0	0
chr8:90456845-90481047	chr8	linear_nested	loh	10	2	RRR	3	RAR	3	0	0	0.0	1.0	0	0	0	0
chr9:28572235-28577820	chr9	sibling_only	loh	42	2	RRR	23	RRA	18	395	4	0.98	0.0223	1	0	0	0
chr9:112012048-112020957	chr9	linear_nested	loh	32	2	RRR	28	AAA	3	0	0	0.0	1.0	0	0	0	0
chr9:113369792-113387776	chr9	linear_nested	loh	11	2	AAA	7	RAA	4	345	0	0.973	1.0	0	0	0	0
chr9:124807065-124816793	chr9	linear_nested	loh	24	2	AAA	13	AAR	11	768	0	0.864	1.0	0	0	0	0
chr10:7289953-7316916	chr10	sibling_only	loh	7	2	ARR	4	RRR	3	232	0	0.988	0.703	0	0	0	0
chr10:13740500-13760920	chr10	linear_nested	loh	9	2	AAA	5	RAA	4	2	0	0.204	0.7517	0	0	0	0
chr10:70493807-70515910	chr10	linear_nested	loh	8	2	AAA	4	ARA	4	0	0	0.0	1.0	0	0	0	0
chr11:87189386-87204396	chr11	linear_nested	loh	14	2	RAR	6	AAR	5	0	0	0.0	1.0	0	0	0	0
chr11:104128400-104158264	chr11	linear_nested	loh	6	2	AAR	3	AAA	3	0	0	0.0	1.0	0	0	0	0
chr11:109325771-109334479	chr11	linear_nested	loh	16	2	AAA	9	RAA	6	90	0	0.969	0.3429	0	0	0	0
chr11:130805184-130823355	chr11	linear_nested	loh	11	2	AAA	8	AAR	3	0	0	0.0	1.0	0	0	0	0
chr12:66178439-66180098	chr12	linear_nested	loh	47	2	RRR	43	AAA	3	8	0	0.779	0.0958	0	0	0	0
chr12:77758151-77763339	chr12	linear_nested	loh	36	2	AAA	18	RAA	14	185	0	0.724	0.9522	0	0	0	0
chr12:86372617-86392182	chr12	linear_nested	loh	12	2	AAR	5	AAA	5	0	0	0.0	1.0	0	0	0	0
chr12:126467091-126488028	chr12	linear_nested	loh	12	2	RAA	8	RRR	3	0	0	0.0	1.0	0	0	0	0
chr13:86145243-86155140	chr13	linear_nested	loh	21	3	ARR	10	AAR	4	51	0	0.663	0.8829	0	0	0	0
chr17:51866238-51881297	chr17	sibling_only	loh	20	2	RRR	12	RAR	7	234	0	0.607	1.0	0	0	0	0
chr17:82593283-82600290	chr17	sibling_only	loh	60	3	RRR	32	RAA	21	1701	0	0.715	1.0	0	0	0	0
chr21:10004846-10022977	chr21	sibling_only	neutral	24	2	RRR	19	RAA	4	0	0	0.0	1.0	0	0	0	0
chr21:22306211-22315240	chr21	linear_nested	neutral	18	2	RRA	11	AAR	7	93	0	0.962	0.2254	0	0	0	0
chr21:42122643-42131981	chr21	sibling_only	neutral	21	2	RRA	12	RRR	9	714	0	0.988	0.7158	0	0	0	0
chr1:4197610-4216895	chr1	linear_nested	loh	10	2	AA	6	AR	4	1	0	0.012	0.6531	0	0	0	0
chr1:5816053-5816054	chr1	linear_nested	loh	58	2	AA	51	RR	6	227	0	0.895	0.3342	0	0	0	0
chr1:6740860-6754743	chr1	sibling_only	loh	20	3	RR	12	AR	4	239	0	0.672	1.0	0	0	0	0
chr1:9095521-9095522	chr1	linear_nested	loh	58	2	RR	39	AA	18	716	0	0.858	0.2648	0	0	0	0
chr1:37368770-37369340	chr1	linear_nested	loh	53	2	RA	33	AA	20	500	0	0.969	0.0996	0	0	0	0
chr1:39189499-39195231	chr1	sibling_only	loh	44	2	AR	22	RA	21	764	0	0.92	1.0	0	0	0	0
chr1:55395827-55412239	chr1	sibling_only	loh	13	2	AR	8	RA	5	0	0	0.0	1.0	0	0	0	0
chr1:57126357-57134064	chr1	linear_nested	loh	26	2	AA	13	RR	11	264	0	0.977	0.1421	0	0	0	0
chr1:58061351-58061920	chr1	linear_nested	loh	55	3	RR	34	AA	18	376	64	0.974	0.0051	1	0	0	0
chr1:58876875-58900595	chr1	sibling_only	loh	15	2	AR	8	RA	6	247	0	0.729	0.9869	0	0	0	0
chr1:59186193-59188830	chr1	sibling_only	loh	38	3	RR	18	AR	17	302	0	0.966	0.057	0	0	0	0
chr1:63127902-63138828	chr1	linear_nested	loh	32	2	AA	16	RR	15	403	0	0.722	0.8353	0	0	0	0
chr1:64399552-64420373	chr1	sibling_only	loh	12	2	AR	7	RA	5	259	0	0.975	1.0	0	0	0	0
chr1:65938816-65944395	chr1	linear_nested	loh	39	2	RR	20	AA	18	333	0	0.956	0.1563	0	0	0	0
chr1:66491091-66506467	chr1	linear_nested	loh	16	2	RR	9	AA	5	0	0	0.0	1.0	0	0	0	0
chr1:66767052-66774696	chr1	sibling_only	loh	33	2	RA	17	AR	16	266	0	0.958	0.5641	0	0	0	0
chr1:68837418-68849100	chr1	linear_nested	loh	26	2	RR	13	AA	12	192	0	0.976	0.1751	0	0	0	0
chr1:69391306-69396161	chr1	sibling_only	loh	36	3	RR	19	AR	13	327	0	0.972	0.2452	0	0	0	0
chr1:76677265-76696659	chr1	sibling_only	loh	8	2	RA	4	AR	3	0	0	0.0	1.0	0	0	0	0
chr1:97324729-97347074	chr1	sibling_only	loh	13	2	RA	7	AR	5	82	0	0.848	0.2635	0	0	0	0
chr1:99386148-99403848	chr1	sibling_only	loh	20	2	RA	11	AR	7	191	0	0.847	1.0	0	0	0	0
chr1:100401752-100402243	chr1	sibling_only	loh	69	2	RA	36	AR	32	403	0	0.964	0.396	0	0	0	0
chr1:100622657-100643833	chr1	sibling_only	loh	9	3	RA	3	RR	3	0	0	0.0	1.0	0	0	0	0
chr1:102554120-102564177	chr1	sibling_only	loh	27	2	AR	16	RA	11	243	0	0.94	0.4317	0	0	0	0
chr1:103149490-103163747	chr1	sibling_only	loh	15	2	RA	8	AR	7	151	0	0.933	0.6163	0	0	0	0
chr1:104007186-104027802	chr1	linear_nested	loh	12	2	RR	6	AA	5	0	0	0.0	1.0	0	0	0	0
chr1:105887475-105903120	chr1	sibling_only	loh	22	2	AR	15	RA	6	137	0	0.937	0.8882	0	0	0	0
chr1:106002287-106026213	chr1	sibling_only	loh	6	2	RR	3	RA	3	0	0	0.0	1.0	0	0	0	0
chr1:107263744-107284188	chr1	linear_nested	loh	15	2	RR	10	AA	4	1	0	0.576	0.4421	0	0	0	0
chr1:109062066-109079886	chr1	sibling_only	loh	13	2	RA	8	AR	5	540	0	0.972	1.0	0	0	0	0
chr1:111380161-111386414	chr1	linear_nested	loh	32	2	AA	17	RR	14	355	0	0.978	0.0853	0	0	0	0
chr1:115509841-115517405	chr1	sibling_only	loh	22	2	RA	12	AR	9	216	0	0.93	0.6873	0	0	0	0
chr1:115776450-115777636	chr1	sibling_only	loh	51	3	AR	28	RA	19	408	14	0.97	0.0461	1	0	0	0
chr2:10954375-10975834	chr2	sibling_only	loh	10	2	RR	5	AR	4	308	0	0.986	0.9477	0	0	0	0
chr2:11489170-11494139	chr2	sibling_only	loh	20	2	RR	9	RA	8	367	0	0.969	0.6638	0	0	0	0
chr2:11746423-11765156	chr2	sibling_only	loh	11	2	RR	8	RA	3	2	0	0.557	0.153	0	0	0	0
chr2:18537199-18540517	chr2	linear_nested	loh	51	3	RR	26	AR	15	285	0	0.931	0.7383	0	0	0	0
chr2:19798683-19809889	chr2	linear_nested	loh	19	2	AR	10	AA	8	376	0	0.95	1.0	0	0	0	0
chr2:19975005-19975745	chr2	linear_nested	loh	54	2	RR	33	AA	20	353	0	0.616	0.3035	0	0	0	0
chr2:20390709-20396930	chr2	linear_nested	loh	26	2	RA	16	AA	10	488	0	0.985	0.3939	0	0	0	0
chr2:20723482-20732512	chr2	sibling_only	loh	22	2	RA	11	AR	11	133	0	0.985	0.6906	0	0	0	0
chr2:21898626-21921212	chr2	linear_nested	loh	11	2	AA	5	AR	5	107	0	0.961	0.5095	0	0	0	0
chr2:22075248-22088811	chr2	linear_nested	loh	13	2	RR	7	AA	5	67	0	0.984	0.1498	0	0	0	0
chr2:22211556-22219752	chr2	linear_nested	loh	23	2	RR	15	AA	6	96	0	0.971	0.1888	0	0	0	0
chr2:23060438-23070842	chr2	sibling_only	loh	18	2	RA	9	AR	8	197	0	0.981	0.295	0	0	0	0
chr2:25211215-25233971	chr2	sibling_only	loh	8	2	RA	4	AR	3	0	0	0.0	1.0	0	0	0	0
chr2:25710699-25726034	chr2	sibling_only	loh	20	2	RR	15	RA	5	319	0	0.974	0.4032	0	0	0	0
chr2:25783210-25814115	chr2	linear_nested	loh	7	2	RA	3	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:27157868-27159603	chr2	sibling_only	loh	74	3	RA	26	RR	25	1070	1	0.99	0.024	1	0	0	0
chr2:28148493-28163191	chr2	sibling_only	loh	23	2	RA	12	AR	11	382	0	0.796	1.0	0	0	0	0
chr2:34997368-34999568	chr2	linear_nested	loh	49	2	RA	40	AA	8	115	0	0.629	0.5683	0	0	0	0
chr2:40386533-40392699	chr2	linear_nested	loh	24	2	RA	19	AA	4	65	0	0.555	0.4917	0	0	0	0
chr2:41192940-41217493	chr2	linear_nested	loh	9	2	AR	6	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:41825915-41832128	chr2	sibling_only	loh	20	2	RA	17	AR	3	0	0	0.0	1.0	0	0	0	0
chr2:44145415-44146489	chr2	linear_nested	loh	36	2	RR	20	AA	15	444	0	0.962	0.7064	0	0	0	0
chr2:64298534-64328095	chr2	linear_nested	loh	9	2	RA	6	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:66345722-66372449	chr2	linear_nested	loh	7	2	AR	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:66830171-66832980	chr2	linear_nested	loh	38	2	AA	22	RA	16	398	0	0.761	0.9517	0	0	0	0
chr2:67594793-67610243	chr2	linear_nested	loh	14	2	RA	8	AA	6	103	0	0.97	0.6639	0	0	0	0
chr2:71968019-71977091	chr2	linear_nested	loh	36	2	AR	21	AA	15	319	0	0.983	0.0615	0	0	0	0
chr2:74092356-74092536	chr2	linear_nested	loh	55	2	AR	32	AA	23	899	0	0.877	0.9937	0	0	0	0
chr2:74968342-74969235	chr2	sibling_only	loh	65	3	RA	36	AR	16	609	0	0.943	0.2315	0	0	0	0
chr2:77728172-77747605	chr2	linear_nested	loh	11	2	AR	7	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:79449096-79472404	chr2	sibling_only	loh	10	2	AR	5	RA	4	0	0	0.0	1.0	0	0	0	0
chr2:81877510-81881312	chr2	sibling_only	loh	34	2	AR	18	RA	16	296	0	0.979	0.3737	0	0	0	0
chr2:83042762-83068238	chr2	linear_nested	loh	9	2	AA	5	AR	4	201	0	0.983	0.3792	0	0	0	0
chr2:119076378-119088426	chr2	linear_nested	loh	20	2	AA	10	RR	8	291	0	0.978	0.6003	0	0	0	0
chr2:120305664-120308260	chr2	linear_nested	loh	35	2	RA	22	AA	13	676	0	0.942	0.5863	0	0	0	0
chr2:122591059-122604187	chr2	linear_nested	loh	23	2	AA	14	AR	9	235	0	0.924	1.0	0	0	0	0
chr2:125379636-125401274	chr2	sibling_only	loh	8	2	RA	4	RR	4	0	0	0.0	1.0	0	0	0	0
chr2:126988728-127009191	chr2	linear_nested	loh	11	2	AA	6	RA	5	231	0	0.967	0.4705	0	0	0	0
chr2:131629605-131637193	chr2	linear_nested	loh	36	2	AA	18	AR	16	721	0	0.99	0.056	0	0	0	0
chr2:132606760-132609175	chr2	linear_nested	loh	46	2	AA	25	RA	21	506	0	0.979	0.6749	0	0	0	0
chr2:136648247-136658749	chr2	linear_nested	loh	24	2	RA	13	AA	11	208	0	0.98	0.1775	0	0	0	0
chr2:137328445-137343323	chr2	linear_nested	loh	17	2	AA	10	AR	7	193	0	0.901	0.8773	0	0	0	0
chr2:141461253-141469161	chr2	linear_nested	loh	20	2	AA	11	AR	8	141	0	0.954	0.5651	0	0	0	0
chr2:199383884-199402599	chr2	linear_nested	neutral	17	3	RR	7	AA	6	128	0	0.984	0.398	0	0	0	0
chr2:201435942-201456496	chr2	linear_nested	neutral	10	2	AA	5	RR	3	0	0	0.0	1.0	0	0	0	0
chr2:207617973-207622782	chr2	sibling_only	neutral	60	3	RR	29	AR	21	1179	0	0.989	0.3	0	0	0	0
chr2:213311599-213332211	chr2	linear_nested	neutral	8	2	AA	4	RR	3	0	0	0.0	1.0	0	0	0	0
chr2:214960978-214976226	chr2	linear_nested	neutral	21	2	RR	13	AA	7	259	0	0.97	0.7844	0	0	0	0
chr2:216198634-216203776	chr2	sibling_only	neutral	45	3	AR	18	RA	16	359	0	0.648	0.7682	0	0	0	0
chr2:216540437-216542208	chr2	linear_nested	neutral	64	3	RR	25	AA	20	531	0	0.971	0.5779	0	0	0	0
chr2:216708335-216725849	chr2	linear_nested	neutral	16	2	RR	10	AA	5	274	0	0.761	0.8886	0	0	0	0
chr2:221508188-221513630	chr2	linear_nested	neutral	42	3	RR	19	RA	13	265	0	0.908	1.0	0	0	0	0
chr3:57899167-57899171	chr3	linear_nested	loh	80	2	RR	62	AA	17	325	0	0.869	1.0	0	0	0	0
chr3:64040321-64044905	chr3	linear_nested	loh	29	2	AR	17	AA	11	355	0	0.953	0.9954	0	0	0	0
chr3:69912054-69912072	chr3	linear_nested	loh	44	2	AA	38	RR	5	5	0	0.563	0.2589	0	0	0	0
chr3:73294928-73301998	chr3	linear_nested	loh	24	2	RA	15	AA	9	356	0	0.991	0.274	0	0	0	0
chr3:96125083-96150033	chr3	linear_nested	loh	8	2	RA	5	AA	3	0	0	0.0	1.0	0	0	0	0
chr3:101074316-101097240	chr3	linear_nested	loh	11	2	AA	6	AR	5	113	0	0.454	1.0	0	0	0	0
chr3:103492614-103510219	chr3	linear_nested	loh	11	2	AA	8	AR	3	99	0	0.979	0.7071	0	0	0	0
chr3:107472671-107481836	chr3	linear_nested	loh	27	3	AA	19	RR	4	134	0	0.967	0.2293	0	0	0	0
chr3:109165172-109184626	chr3	linear_nested	loh	14	2	RA	9	AA	5	278	0	0.973	0.4516	0	0	0	0
